"customer_id","subscription_created","canceled_at","first_payment_time","time_to_first_payment_hours","time_to_first_payment_minutes_remainder"
"cus_PVpHjLMS9tVS00","2024-02-06 12:22:12.000","2024-02-06 12:28:52.000","2024-02-06 12:22:13.000","0","0"
"cus_PYiacTkEKYQGqU","2024-02-14 05:43:12.000","2024-02-14 05:48:10.000","2024-02-14 05:43:13.000","0","0"
"cus_PdxLed3jT3wLLP","2024-02-28 05:13:08.000","2024-02-28 05:39:31.000","2024-02-28 05:13:08.000","0","0"
"cus_Pd208x2OU482hX","2024-03-12 16:23:59.000","2024-03-13 15:24:37.000","2024-03-13 02:46:53.000","10","22"
"cus_Pd208x2OU482hX","2024-03-12 16:33:50.000","2024-03-13 15:34:44.000","2024-03-13 02:46:53.000","10","13"
"cus_Pd208x2OU482hX","2024-03-12 16:51:29.000","2024-03-13 15:51:56.000","2024-03-13 02:46:53.000","9","55"
"cus_PmyAl6Uy87RmA2","2024-03-23 06:42:24.000","2024-03-23 07:07:49.000","2024-03-23 06:42:24.000","0","0"
"cus_Pmh3sWkbRwObQ4","2024-03-24 20:47:33.000","2024-03-24 21:55:23.000","2024-03-24 20:47:34.000","0","0"
"cus_Po1VoCK0YiVz3b","2024-03-26 02:11:37.000","2024-03-26 02:29:41.000","2024-03-26 02:11:38.000","0","0"
"cus_PnC4A2pRI0YgjF","2024-03-27 20:47:05.000","2024-03-28 19:48:01.000","2024-03-27 20:50:44.000","0","3"
"cus_PqXAsoStEM8Bcz","2024-04-01 19:02:48.000","2024-04-02 18:03:26.000","2024-04-01 19:05:59.000","0","3"
"cus_PuZXZnoGWqgaUF","2024-04-12 13:48:18.000","2024-04-13 12:48:41.000","2024-04-12 13:55:02.000","0","6"
"cus_PuZXZnoGWqgaUF","2024-04-12 13:55:01.000","2024-04-12 14:01:13.000","2024-04-12 13:55:02.000","0","0"
"cus_PvJJtb2qLP4bwg","2024-04-14 13:03:18.000","2024-04-15 12:03:50.000","2024-04-15 13:48:17.000","24","44"
"cus_PvJJtb2qLP4bwg","2024-04-14 13:04:58.000","2024-04-15 12:05:51.000","2024-04-15 13:48:17.000","24","43"
"cus_PvJJtb2qLP4bwg","2024-04-14 13:06:48.000","2024-04-15 12:06:59.000","2024-04-15 13:48:17.000","24","41"
"cus_PvJJtb2qLP4bwg","2024-04-14 13:16:27.000","2024-04-15 12:17:07.000","2024-04-15 13:48:17.000","24","31"
"cus_PvJJtb2qLP4bwg","2024-04-14 13:19:06.000","2024-04-15 12:20:07.000","2024-04-15 13:48:17.000","24","29"
"cus_PvJJtb2qLP4bwg","2024-04-14 13:21:34.000","2024-04-15 12:22:03.000","2024-04-15 13:48:17.000","24","26"
"cus_PvJJtb2qLP4bwg","2024-04-15 13:44:13.000","2024-04-16 12:44:42.000","2024-04-15 13:48:17.000","0","4"
"cus_Pvoi1nKw3HrcPT","2024-04-15 21:30:01.000","2024-04-16 20:30:01.000","2024-04-15 21:45:15.000","0","15"
"cus_Pxj6ac9J7zQXZs","2024-04-22 00:30:08.000","2024-04-22 02:02:06.000","2024-04-22 00:30:09.000","0","0"
"cus_Py7hLl1uYTXRbS","2024-04-22 01:14:59.000","2024-04-22 01:27:50.000","2024-04-22 01:15:00.000","0","0"
"cus_Pyq0Vd9w7l8aNg","2024-04-23 23:04:12.000","2024-04-24 03:44:32.000","2024-04-23 23:04:13.000","0","0"
"cus_Q42x0cllq2R6XE","2024-05-07 20:45:15.000","2024-05-08 19:46:04.000","2024-05-07 20:47:05.000","0","1"
"cus_Q4M1V8s5xFujP9","2024-05-08 16:27:42.000","2024-05-09 15:27:45.000","2024-05-08 16:31:34.000","0","3"
"cus_Q9kjiZbA2exdnU","2024-05-23 02:26:39.000","2024-05-24 01:28:46.000","2024-05-23 02:26:40.000","0","0"
"cus_QAlRbNUS0tJGbS","2024-05-25 19:26:28.000","2024-05-25 23:23:24.000","2024-05-25 19:26:29.000","0","0"
"cus_QAlRbNUS0tJGbS","2024-06-03 17:01:54.000","2024-06-04 16:27:11.000","2024-05-25 19:26:29.000","-213","-35"
"cus_QFriwi7EIjWxuH","2024-06-08 10:15:39.000","2024-06-09 09:16:40.000","2024-06-08 10:19:49.000","0","4"
"cus_QFriwi7EIjWxuH","2024-06-08 10:19:40.000","2024-06-09 08:03:17.000","2024-06-08 10:19:49.000","0","0"
"cus_QHY3idvXjFUmrw","2024-06-12 21:57:19.000","2024-06-13 20:57:23.000","2024-06-12 22:05:40.000","0","8"
"cus_QLuE3h6YcCMkuc","2024-06-24 12:58:01.000","2024-06-25 11:58:51.000","2024-06-24 12:58:46.000","0","0"
"cus_QLuE3h6YcCMkuc","2024-06-24 12:58:45.000","2024-06-24 15:58:49.000","2024-06-24 12:58:46.000","0","0"
"cus_QURr6GwtkGOdSS","2024-07-17 08:19:17.000","2024-07-17 09:01:54.000","2024-07-17 08:19:18.000","0","0"
"cus_PqXAsoStEM8Bcz","2024-07-23 23:21:54.000","2024-07-24 22:21:58.000","2024-04-01 19:05:59.000","-2716","-15"
"cus_Qgv2w11XNhF58j","2024-08-19 15:10:15.000","2024-08-20 14:11:14.000","2024-08-19 15:11:19.000","0","1"
"cus_Qgv2w11XNhF58j","2024-08-19 15:11:18.000","2024-08-19 15:12:11.000","2024-08-19 15:11:19.000","0","0"
"cus_QhjV4y3Uh6rGty","2024-08-21 19:22:28.000","2024-08-21 19:28:53.000","2024-08-21 19:22:29.000","0","0"
"cus_QUeoai9BWwRwMs","2024-08-22 03:09:00.000","2024-08-23 02:09:06.000","2024-08-22 03:11:46.000","0","2"
"cus_Qi8YH5H3Tq2hoK","2024-08-22 21:12:38.000","2024-08-22 21:44:31.000","2024-08-22 21:12:39.000","0","0"
"cus_Qjv43QJN98dgDB","2024-08-27 15:24:04.000","2024-08-27 15:28:39.000","2024-08-27 15:24:05.000","0","0"
"cus_QmVUiZnuTGPaNk","2024-09-03 13:08:58.000","2024-09-03 13:20:33.000","2024-09-03 13:08:59.000","0","0"
"cus_QpWa4Enu9yYD92","2024-09-11 14:32:44.000","2024-09-12 13:33:40.000","2024-09-11 14:32:04.000","0","0"
"cus_QqQTyVqpH8Jb9y","2024-09-14 00:17:32.000","2024-09-14 23:17:50.000","2024-09-14 00:21:00.000","0","3"
"cus_QpWa4Enu9yYD92","2024-09-18 12:04:11.000","2024-09-18 12:22:37.000","2024-09-11 14:32:04.000","-165","-32"
"cus_Pp9K9KW1If6sTf","2024-09-23 01:49:46.000","2024-09-24 00:49:51.000","2024-09-23 01:56:41.000","0","6"
"cus_QsBP9HxQrBW0VB","2024-09-23 09:26:30.000","2024-09-24 08:27:26.000","2024-09-23 13:11:53.000","3","45"
"cus_Qtwzem3RYFwjkX","2024-09-23 10:11:34.000","2024-09-24 10:26:12.000","2024-09-23 10:11:35.000","0","0"
"cus_QsBP9HxQrBW0VB","2024-09-23 13:07:09.000","2024-09-24 12:08:24.000","2024-09-23 13:11:53.000","0","4"
"cus_QusIg8l5VARo5g","2024-09-25 21:15:25.000","2024-09-25 21:16:36.000","2024-09-25 21:15:26.000","0","0"
"cus_QuyGIskVJW2XkQ","2024-09-26 03:26:32.000","2024-09-26 07:39:13.000","2024-09-26 03:26:33.000","0","0"
"cus_QvXWRzuNNUl7W2","2024-09-27 15:55:44.000","2024-09-27 16:13:24.000","2024-09-27 15:55:46.000","0","0"
"cus_QwFzyxW5ftxtL7","2024-09-29 13:49:11.000","2024-09-29 14:19:29.000","2024-09-29 13:49:13.000","0","0"
"cus_QwpKkM2cau0xva","2024-10-01 02:21:51.000","2024-10-01 02:28:43.000","2024-10-01 02:21:52.000","0","0"
"cus_Qx2oLC8TQNIGk0","2024-10-01 16:19:28.000","2024-10-02 15:19:58.000","2024-10-01 16:22:29.000","0","3"
"cus_QxI9FdZ1tHV66W","2024-10-02 08:54:22.000","2024-10-02 09:18:40.000","2024-10-02 08:54:23.000","0","0"
"cus_QxEWfh5kLPYMM7","2024-10-06 16:29:40.000","2024-10-07 15:29:59.000","2024-10-06 16:33:48.000","0","4"
"cus_R010quQWxterRn","2024-10-09 14:48:46.000","2024-10-09 14:58:13.000","2024-10-09 14:48:47.000","0","0"
"cus_R0BkPjLoonY5DY","2024-10-10 01:44:24.000","2024-10-10 02:26:51.000","2024-10-10 01:44:25.000","0","0"
"cus_R0SCm8p62trgqD","2024-10-10 18:47:08.000","2024-10-10 18:59:15.000","2024-10-10 18:47:09.000","0","0"
"cus_R0ruejTV5edcRG","2024-10-11 21:19:47.000","2024-10-12 20:20:33.000","2024-10-11 21:26:12.000","0","6"
"cus_R66ARXlR40EQc8","2024-10-25 20:23:50.000","2024-10-26 19:23:56.000","2024-10-25 20:23:34.000","0","0"
"cus_R4HYBPt1EB7mtV","2024-10-27 14:05:11.000","2024-10-27 14:56:59.000","2024-10-27 14:05:12.000","0","0"
"cus_R6tEpDfJeLFDBR","2024-10-27 23:10:50.000","2024-10-27 23:31:01.000","2024-10-27 23:10:51.000","0","0"
"cus_R6vP9A83qQjXTU","2024-10-28 01:23:39.000","2024-10-28 01:25:42.000","2024-10-28 01:23:41.000","0","0"
"cus_R6zRq4kz01lTnM","2024-10-28 05:28:06.000","2024-10-29 04:28:57.000","2024-10-28 05:31:13.000","0","3"
"cus_R0ruejTV5edcRG","2024-11-13 02:13:17.000","2024-11-14 01:13:54.000","2024-10-11 21:26:12.000","-772","-47"
"cus_RD4QHhQQsWtddW","2024-11-13 11:00:51.000","2024-11-13 11:01:47.000","2024-11-13 11:00:52.000","0","0"
"cus_RDBbF1WsBYM5dK","2024-11-13 18:25:44.000","2024-11-13 18:34:53.000","2024-11-13 18:25:45.000","0","0"
"cus_Nj8m4igSuqWKUg","2023-04-17 01:06:54.000","2023-04-17 01:07:35.000","2023-04-17 01:06:55.000","0","0"
"cus_Nj8npL0uXQjtqC","2023-04-17 01:46:29.000","2023-04-17 01:51:30.000","2023-04-17 01:46:30.000","0","0"
"cus_NjlSEQGmgzu5nI","2023-04-18 17:03:50.000","2023-04-19 16:04:01.000","2023-05-07 20:31:25.000","459","27"
"cus_NkGRSf2WhUPAhs","2023-04-20 01:10:54.000","2023-04-20 01:37:18.000","2023-04-20 01:10:54.000","0","0"
"cus_Nk9V6rqWBk2kro","2023-04-21 15:45:10.000","2023-04-21 15:50:52.000","2023-04-21 15:45:11.000","0","0"
"cus_NqRzVDsaKTmQaG","2023-05-06 13:24:25.000","2023-05-06 13:25:19.000","2023-05-06 13:24:25.000","0","0"
"cus_NsOlFZBO8lafZb","2023-05-11 18:13:07.000","2023-05-12 17:15:28.000","2023-05-11 18:25:27.000","0","12"
"cus_NsOlFZBO8lafZb","2023-05-11 18:16:58.000","2023-05-12 17:22:15.000","2023-05-11 18:25:27.000","0","8"
"cus_Nwa6k1OmjwLqSS","2023-05-24 18:21:58.000","2023-05-25 17:23:14.000","2023-05-26 16:14:40.000","45","52"
"cus_OcnP9PXN7K79Yd","2023-09-12 14:44:23.000","2023-09-13 13:45:59.000","2023-09-12 14:57:27.000","0","13"
"cus_OcnP9PXN7K79Yd","2023-09-12 14:48:43.000","2023-09-13 13:51:32.000","2023-09-12 14:57:27.000","0","8"
"cus_OgiMpuXnzj9HYq","2023-09-23 01:48:04.000","2023-09-23 18:54:01.000","2023-09-23 01:48:05.000","0","0"
"cus_OknriNyLGwMDfA","2023-10-03 23:54:28.000","2023-10-04 23:09:57.000","2023-11-15 03:48:59.000","1011","54"
"cus_OknriNyLGwMDfA","2023-10-03 23:55:54.000","2023-10-04 23:01:29.000","2023-11-15 03:48:59.000","1011","53"
"cus_OknriNyLGwMDfA","2023-10-03 23:55:58.000","2023-10-04 23:01:28.000","2023-11-15 03:48:59.000","1011","53"
"cus_OknriNyLGwMDfA","2023-10-03 23:56:01.000","2023-10-04 23:12:21.000","2023-11-15 03:48:59.000","1011","52"
"cus_OknriNyLGwMDfA","2023-10-03 23:58:55.000","2023-10-04 23:04:23.000","2023-11-15 03:48:59.000","1011","50"
"cus_OknriNyLGwMDfA","2023-10-04 00:00:52.000","2023-10-04 23:04:24.000","2023-11-15 03:48:59.000","1011","48"
"cus_OpHoT6Hqd5GRgr","2023-10-15 22:57:51.000","2023-10-16 16:36:10.000","2023-10-15 22:57:52.000","0","0"
"cus_P7dSn4XFEaaWF6","2023-12-03 22:31:50.000","2023-12-03 22:47:58.000","2023-12-03 22:31:51.000","0","0"
"cus_PNz5dynwnakz8P","2024-01-16 13:57:19.000","2024-01-17 12:57:50.000","2024-01-16 13:57:50.000","0","0"
"cus_PRqD6hbIKbtsJx","2024-01-26 21:01:55.000","2024-01-27 20:02:11.000","2024-01-26 21:07:55.000","0","6"
"cus_PRqD6hbIKbtsJx","2024-01-26 21:03:30.000","2024-01-27 20:04:05.000","2024-01-26 21:07:55.000","0","4"
"cus_PRqD6hbIKbtsJx","2024-01-26 21:06:23.000","2024-01-27 20:07:17.000","2024-01-26 21:07:55.000","0","1"
"cus_PXAsO9doKP6uVv","2024-02-10 02:43:22.000","2024-02-10 02:47:59.000","2024-02-10 02:43:23.000","0","0"
"cus_PZUFUrfc4ZKSTb","2024-02-16 07:58:06.000","2024-02-17 06:58:47.000","2024-02-16 07:57:01.000","0","-1"
"cus_PcMvyaskIycRbm","2024-02-23 23:31:25.000","2024-02-24 22:32:21.000","2024-02-24 07:28:55.000","7","57"
"cus_PcMvyaskIycRbm","2024-02-23 23:31:56.000","2024-02-24 22:32:24.000","2024-02-24 07:28:55.000","7","56"
"cus_PcMvyaskIycRbm","2024-02-24 07:28:54.000","2024-02-24 08:17:52.000","2024-02-24 07:28:55.000","0","0"
"cus_PhCFuaHu23CcIS","2024-03-07 20:51:04.000","2024-03-08 19:51:06.000","2024-03-07 20:55:38.000","0","4"
"cus_Pla6CaNoB3b6QP","2024-03-19 13:47:28.000","2024-03-19 13:54:19.000","2024-03-19 13:47:28.000","0","0"
"cus_PleiCyAeAbzfya","2024-03-19 18:44:41.000","2024-03-20 06:46:27.000","2024-03-19 18:44:42.000","0","0"
"cus_Pltm2yuxue17SI","2024-03-20 10:05:24.000","2024-03-21 09:06:04.000","2024-03-20 10:08:27.000","0","3"
"cus_Pltm2yuxue17SI","2024-03-20 10:08:26.000","2024-03-20 10:19:23.000","2024-03-20 10:08:27.000","0","0"
"cus_PlcpBYNXgjokDI","2024-03-20 17:02:35.000","2024-03-20 17:06:14.000","2024-03-20 17:02:35.000","0","0"
"cus_PmONFRFlHr0cGv","2024-03-21 17:55:24.000","2024-03-22 16:56:09.000","2024-03-27 03:16:26.000","129","21"
"cus_PnY6KqLoDEthCn","2024-03-24 19:48:14.000","2024-03-24 20:02:34.000","2024-03-24 19:48:15.000","0","0"
"cus_PnFHIHPgJr37uN","2024-03-25 00:52:56.000","2024-03-25 00:55:43.000","2024-03-25 00:52:57.000","0","0"
"cus_PoX9BY9leWEf4a","2024-03-27 10:54:27.000","2024-03-28 09:55:12.000","2024-03-27 10:55:48.000","0","1"
"cus_OiZ6dmk7Un01Pe","2024-04-02 22:45:22.000","2024-04-03 21:45:52.000","2024-04-02 22:46:45.000","0","1"
"cus_OiZ6dmk7Un01Pe","2024-04-02 22:46:44.000","2024-04-02 23:00:23.000","2024-04-02 22:46:45.000","0","0"
"cus_Pg9LaSlQJjI6lA","2024-04-03 01:20:23.000","2024-04-03 01:21:09.000","2024-04-03 01:20:23.000","0","0"
"cus_Ps4iVNuNxV5kTv","2024-04-06 22:07:45.000","2024-04-06 22:19:11.000","2024-04-06 22:07:46.000","0","0"
"cus_PstGOKu70gbRGi","2024-04-08 02:00:38.000","2024-04-08 02:02:48.000","2024-04-08 02:00:39.000","0","0"
"cus_PwnITJujtIB1lK","2024-04-18 12:08:10.000","2024-04-19 11:08:35.000","2024-04-18 12:09:23.000","0","1"
"cus_PyLI9yWt10fIDO","2024-04-22 15:17:46.000","2024-04-23 14:18:29.000","2024-04-22 15:19:55.000","0","2"
"cus_Q5zN28OA9RPYKX","2024-05-13 01:13:52.000","2024-05-13 01:14:34.000","2024-05-13 01:13:53.000","0","0"
"cus_PrDwYCjIU8cknn","2024-05-13 04:03:14.000","2024-05-14 03:04:10.000","2024-06-16 04:16:10.000","816","12"
"cus_NlNupFN8JRnQGk","2024-07-28 00:39:26.000","2024-07-28 01:03:04.000","2023-06-13 03:08:13.000","-9861","-31"
"cus_QazwToaAnEtO4G","2024-08-03 19:50:44.000","2024-08-04 18:51:19.000","2024-08-03 19:52:20.000","0","1"
"cus_QcaQTpbymKfjTT","2024-08-08 08:11:10.000","2024-08-08 08:20:43.000","2024-08-08 08:11:11.000","0","0"
"cus_QdOyi7p3PlJ8kk","2024-08-10 05:53:24.000","2024-08-10 06:46:11.000","2024-08-10 05:53:25.000","0","0"
"cus_QhcLRzQsZu1P2r","2024-08-21 11:55:34.000","2024-08-22 10:55:52.000","2024-08-21 11:57:33.000","0","1"
"cus_Qh6TjfvBfdQTLX","2024-08-21 15:54:27.000","2024-08-22 14:54:39.000","2024-08-21 15:56:50.000","0","2"
"cus_QjBErITa58yjNr","2024-08-25 16:04:07.000","2024-08-25 16:07:16.000","2024-08-25 16:04:07.000","0","0"
"cus_QkHYXm8yCL01p7","2024-08-28 14:39:29.000","2024-08-29 13:39:59.000","2024-08-28 15:11:32.000","0","32"
"cus_QkHYXm8yCL01p7","2024-08-28 15:11:31.000","2024-08-28 15:12:18.000","2024-08-28 15:11:32.000","0","0"
"cus_QlyPubQJ8KWCRX","2024-09-02 02:59:15.000","2024-09-02 03:21:28.000","2024-09-02 02:59:16.000","0","0"
"cus_QmctdQTS8Kztuc","2024-09-03 20:50:09.000","2024-09-03 20:51:28.000","2024-09-03 20:50:10.000","0","0"
"cus_Qn2EsTFWsOhWe5","2024-09-04 23:17:58.000","2024-09-05 22:18:42.000","2024-09-04 23:27:20.000","0","9"
"cus_Qrjgxv3IkDMnS8","2024-09-17 12:12:03.000","2024-09-18 11:12:59.000","2024-09-17 12:18:03.000","0","6"
"cus_Qrjgxv3IkDMnS8","2024-09-17 12:14:07.000","2024-09-18 11:15:06.000","2024-09-17 12:18:03.000","0","3"
"cus_Qrjgxv3IkDMnS8","2024-09-17 12:16:30.000","2024-09-18 11:17:03.000","2024-09-17 12:18:03.000","0","1"
"cus_QtNIcbBdQh8t4h","2024-09-21 21:10:50.000","2024-09-22 20:11:43.000","2024-09-21 21:13:30.000","0","2"
"cus_QtgQd6rYOp1s9L","2024-09-22 16:56:13.000","2024-09-23 15:56:49.000","2024-09-22 16:58:45.000","0","2"
"cus_QtgQd6rYOp1s9L","2024-09-22 16:58:44.000","2024-09-22 18:27:38.000","2024-09-22 16:58:45.000","0","0"
"cus_QuHdmLJsbraIbj","2024-09-26 07:07:16.000","2024-09-26 07:10:17.000","2024-09-26 07:07:55.000","0","0"
"cus_Qva4ONq7DYn85l","2024-09-29 21:31:01.000","2024-09-30 20:31:18.000","2024-09-29 21:35:36.000","0","4"
"cus_QkmaXDPCtHXtqW","2024-10-01 19:45:46.000","2024-10-02 18:46:39.000","2024-08-29 22:43:24.000","-789","-2"
"cus_QxOlpEtCtMDb1S","2024-10-02 15:04:21.000","2024-10-02 15:11:20.000","2024-10-02 15:04:22.000","0","0"
"cus_QzyBLXc3b79RpQ","2024-10-09 11:42:55.000","2024-10-10 10:42:57.000","2024-10-09 11:44:07.000","0","1"
"cus_R1Gcf8VlU6f3S5","2024-10-12 22:49:14.000","2024-10-13 00:12:32.000","2024-10-12 22:49:15.000","0","0"
"cus_R2J0xyQawmKoGt","2024-10-15 17:23:59.000","2024-10-15 17:47:14.000","2024-10-15 17:24:00.000","0","0"
"cus_R3v9S6QeoCgczS","2024-10-20 16:46:58.000","2024-10-21 02:05:16.000","2024-10-20 16:46:59.000","0","0"
"cus_R2hvTKj68dtdyg","2024-10-21 10:20:21.000","2024-10-21 10:30:37.000","2024-10-21 10:20:22.000","0","0"
"cus_R4i6DWVg87HcU6","2024-10-22 03:34:21.000","2024-10-22 03:47:58.000","2024-10-22 03:34:22.000","0","0"
"cus_QfwTvE2LBKaHvu","2024-10-29 17:40:10.000","2024-10-30 16:40:41.000","2024-10-29 17:41:54.000","0","1"
"cus_PrG9ss9MjimxeL","2024-10-30 21:48:49.000","2024-10-31 20:49:46.000","2024-04-03 17:31:31.000","-5044","-17"
"cus_PrG9ss9MjimxeL","2024-10-30 21:50:35.000","2024-10-30 23:04:01.000","2024-04-03 17:31:31.000","-5044","-19"
"cus_R8z38iAnCgd7Fn","2024-11-02 13:24:15.000","2024-11-03 12:24:22.000","2024-11-02 13:39:16.000","0","15"
"cus_R9wcSIHeGsNAEZ","2024-11-05 02:59:12.000","2024-11-06 02:00:06.000","2024-11-05 03:04:25.000","0","5"
"cus_R9wcSIHeGsNAEZ","2024-11-05 03:01:48.000","2024-11-06 02:02:08.000","2024-11-05 03:04:25.000","0","2"
"cus_RAa9qbk3KRUWY8","2024-11-06 19:35:04.000","2024-11-07 11:23:25.000","2024-11-06 19:35:05.000","0","0"
"cus_RAhZHW82NsI9sp","2024-11-07 03:17:37.000","2024-11-07 20:12:08.000","2024-11-07 03:17:38.000","0","0"
"cus_OjKhDHj1G7GqOr","2024-11-10 01:25:41.000","2024-11-11 00:26:01.000","2023-09-30 01:34:26.000","-9767","-51"
"cus_RCJN3hNQm1fbu0","2024-11-11 10:24:29.000","2024-11-11 10:27:51.000","2024-11-11 10:24:30.000","0","0"
"cus_RCUTbqN4zzYV9E","2024-11-11 21:54:00.000","2024-11-12 01:07:42.000","2024-11-11 21:54:01.000","0","0"
"cus_RCwYJ1XCmzHZY8","2024-11-13 02:52:21.000","2024-11-13 02:58:26.000","2024-11-13 02:52:22.000","0","0"
"cus_Nj6ydO3j4KwqXf","2023-04-16 23:13:22.000","2023-04-16 23:15:54.000","2023-04-16 23:13:23.000","0","0"
"cus_NjEolVzsnJD1lE","2023-04-17 07:20:40.000","2023-04-17 07:32:40.000","2023-04-17 07:20:41.000","0","0"
"cus_NjuEcrcor9UmDj","2023-04-19 02:09:22.000","2023-04-19 02:23:02.000","2023-04-19 02:09:23.000","0","0"
"cus_NjjsAgoBlEQYkC","2023-04-19 05:06:46.000","2023-04-19 05:35:01.000","2023-04-19 05:06:48.000","0","0"
"cus_Nj8v5miMTpPW5m","2023-04-21 04:13:59.000","2023-04-21 04:27:16.000","2023-04-21 04:14:00.000","0","0"
"cus_NkQoxvndfEEaTH","2023-04-21 09:44:22.000","2023-04-21 10:35:23.000","2023-04-21 09:44:23.000","0","0"
"cus_Nol4GsUyrFHcob","2023-05-02 01:00:00.000","2023-05-03 00:00:26.000","2023-05-02 01:02:50.000","0","2"
"cus_NrNSoUXk4eJSlT","2023-05-09 00:48:39.000","2023-05-09 23:49:28.000","2023-05-09 00:51:01.000","0","2"
"cus_Nra6hagLxw5QHb","2023-05-09 13:57:16.000","2023-05-10 12:57:31.000","2023-05-09 13:58:12.000","0","0"
"cus_NrcqtUXVoyvXEp","2023-05-09 20:40:24.000","2023-05-10 19:40:33.000","2023-05-09 20:53:20.000","0","12"
"cus_Nw8ZWFV57c0bhf","2023-05-21 17:44:58.000","2023-05-22 16:45:47.000","2023-05-21 17:46:59.000","0","2"
"cus_Nxdv07Gd8M2wlx","2023-05-25 18:12:17.000","2023-05-26 17:13:35.000","2023-05-25 18:14:36.000","0","2"
"cus_ORkh3kkQz0Q1xd","2023-08-14 03:12:46.000","2023-08-14 20:20:50.000","2023-08-14 03:12:47.000","0","0"
"cus_OSdYfhsqbfxTIv","2023-08-16 12:49:03.000","2023-08-17 11:55:43.000","2023-12-19 14:52:29.000","3002","3"
"cus_OSdYfhsqbfxTIv","2023-08-16 13:43:23.000","2023-08-17 12:44:37.000","2023-12-19 14:52:29.000","3001","9"
"cus_OaP26wi5tYtxzU","2023-09-22 04:27:19.000","2023-09-23 03:27:23.000","2023-09-22 04:30:44.000","0","3"
"cus_OaP26wi5tYtxzU","2023-09-22 04:28:26.000","2023-09-23 03:35:00.000","2023-09-22 04:30:44.000","0","2"
"cus_OiSpyIyfC9LO0i","2023-09-27 17:53:47.000","2023-09-28 16:54:03.000","2023-10-05 18:03:09.000","192","9"
